survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,fare_normalized,age_standardized
0,3,male,21.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0.015712553569072387,-0.6237472809699052
0,3,female,18.0,2,0,18.0,S,Third,woman,False,Southampton,no,False,0.03513366015444757,-0.8418105654323949
1,3,female,14.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,0.021942337075458514,-1.1325616113823809
0,3,female,40.0,1,0,9.475,S,Third,woman,False,Southampton,no,False,0.018493968331299484,0.757320187292529
0,2,female,27.0,1,0,21.0,S,Second,woman,False,Southampton,no,False,0.04098927018018883,-0.18762071204492597
0,3,male,28.0,0,0,7.8958,C,Third,man,True,Cherbourg,no,True,0.015411575213749286,-0.11493295055742946
1,2,female,3.0,1,2,41.5792,C,Second,child,False,Cherbourg,yes,False,0.08115719346076702,-1.9321269877448428
1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,0.01537917417160685,-0.7691228039448983
0,3,male,28.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0.015712553569072387,-0.11493295055742946
0,3,male,28.0,1,0,15.5,Q,Third,man,True,Queenstown,no,False,0.030253985132996517,-0.11493295055742946
0,3,male,28.0,2,0,21.6792,C,Third,man,True,Cherbourg,no,False,0.04231498029001666,-0.11493295055742946
0,3,female,18.0,1,0,17.8,S,Third,woman,False,Southampton,no,False,0.034743286152731485,-0.8418105654323949
0,3,male,7.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,0.07746484096553544,-1.6413759417948568
0,3,male,21.0,0,0,7.8,S,Third,man,True,Southampton,no,True,0.01522458606692728,-0.6237472809699052
1,1,female,49.0,1,0,76.7292,C,First,woman,False,Cherbourg,yes,False,0.1497654242623688,1.4115100406799979
1,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,0.050748620223090936,-0.042245189069932916
0,1,male,65.0,0,1,61.9792,C,First,man,True,Cherbourg,no,False,0.1209753416358076,2.574514224479943
1,2,female,21.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,0.020494635090094415,-0.6237472809699052
0,3,male,28.5,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,0.014110458666029575,-0.07858906981368119
1,2,female,5.0,1,2,27.75,S,Second,child,False,Southampton,yes,False,0.05416439273810667,-1.7867514647698497
0,3,male,11.0,5,2,46.9,S,Third,child,False,Southampton,no,False,0.09154270340242172,-1.3506248958448706
0,3,male,22.0,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,0.014110458666029575,-0.5510595194824087
1,1,female,38.0,0,0,80.0,S,First,woman,False,Southampton,yes,True,0.15614960068643363,0.6119446643175359
0,1,male,45.0,1,0,83.475,S,First,man,True,Southampton,no,False,0.16293234896625058,1.1207589947300116
0,3,male,4.0,3,2,27.9,S,Third,child,False,Southampton,no,False,0.05445717323939373,-1.8594392262573463
0,1,male,28.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True,0.05410739813385612,-0.11493295055742946
1,3,male,28.0,1,1,15.2458,C,Third,man,True,Cherbourg,yes,False,0.029757819776815374,-0.11493295055742946
1,2,female,29.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,0.020494635090094415,-0.042245189069932916
0,3,male,19.0,0,0,8.1583,S,Third,man,True,Southampton,no,True,0.015923941091001644,-0.7691228039448983
1,3,female,17.0,4,2,7.925,S,Third,woman,False,Southampton,yes,False,0.015468569817999833,-0.9144983269198913
0,3,male,26.0,2,0,8.6625,S,Third,man,True,Southampton,no,False,0.016908073949327893,-0.26030847353242254
0,2,male,32.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0.020494635090094415,0.1758180953925567
0,3,female,16.0,5,2,46.9,S,Third,woman,False,Southampton,no,False,0.09154270340242172,-0.9871860884073879
0,2,male,21.0,0,0,73.5,S,Second,man,True,Southampton,no,True,0.1434624456306609,-0.6237472809699052
0,3,male,26.0,1,0,14.4542,C,Third,man,True,Cherbourg,no,False,0.028212719478023115,-0.26030847353242254
1,3,male,32.0,0,0,56.4958,S,Third,man,True,Southampton,yes,True,0.11027245763075773,0.1758180953925567
0,3,male,25.0,0,0,7.65,S,Third,man,True,Southampton,no,True,0.014931805565640218,-0.33299623501991904
1,2,male,0.83,0,2,29.0,S,Second,child,False,Southampton,yes,False,0.056604230248832196,-2.0898594301727105
1,3,female,30.0,0,0,12.475,S,Third,woman,False,Southampton,yes,True,0.024349578357040744,0.03044257241756362
0,3,male,22.0,0,0,9.0,S,Third,man,True,Southampton,no,True,0.017566830077223785,-0.5510595194824087
1,3,male,29.0,0,0,9.5,S,Third,man,True,Southampton,yes,True,0.018542765081513996,-0.042245189069932916
1,3,female,28.0,0,0,7.7875,Q,Third,woman,False,Queenstown,yes,True,0.015200187691820024,-0.11493295055742946
0,1,male,28.0,0,0,47.1,S,First,man,True,Southampton,no,True,0.09193307740413781,-0.11493295055742946
1,2,female,17.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,0.020494635090094415,-0.9144983269198913
1,3,female,33.0,3,0,15.85,S,Third,woman,False,Southampton,yes,False,0.030937139635999665,0.24850585688005322
0,3,male,16.0,1,3,34.375,S,Third,man,True,Southampton,no,False,0.06709553154495196,-0.9871860884073879
1,1,female,23.0,3,2,263.0,S,First,woman,False,Southampton,yes,False,0.5133418122566507,-0.47837175799491216
0,3,male,24.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0.015712553569072387,-0.4056839965074156
0,3,male,29.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0.015712553569072387,-0.042245189069932916
0,3,male,20.0,0,0,7.8542,S,Third,man,True,Southampton,no,True,0.015330377421392339,-0.6964350424574017
0,1,male,46.0,1,0,61.175,S,First,man,True,Southampton,no,False,0.11940564777490723,1.1934467562175082
0,3,male,26.0,1,2,20.575,S,Third,man,True,Southampton,no,False,0.04015972542654215,-0.26030847353242254
0,3,male,59.0,0,0,7.25,S,Third,man,True,Southampton,no,True,0.014151057562208049,2.138387655554963
0,1,male,71.0,0,0,34.6542,C,First,man,True,Cherbourg,no,True,0.06764049365134761,3.0106407934049217
1,1,male,23.0,0,1,63.3583,C,First,man,True,Cherbourg,yes,False,0.12366716556464086,-0.47837175799491216
1,2,female,34.0,0,1,23.0,S,Second,woman,False,Southampton,yes,False,0.044893010197349675,0.3211936183675498
0,2,male,34.0,1,0,26.0,S,Second,man,True,Southampton,no,False,0.050748620223090936,0.3211936183675498
0,3,female,28.0,0,0,7.8958,S,Third,woman,False,Southampton,no,True,0.015411575213749286,-0.11493295055742946
0,1,male,21.0,0,1,77.2875,S,First,man,True,Southampton,no,False,0.15085515328815924,-0.6237472809699052
0,3,male,33.0,0,0,8.6542,S,Third,man,True,Southampton,no,True,0.016891873428256675,0.24850585688005322
0,3,male,37.0,2,0,7.925,S,Third,man,True,Southampton,no,False,0.015468569817999833,0.5392569028300394
1,3,female,21.0,0,0,7.65,S,Third,woman,False,Southampton,yes,True,0.014931805565640218,-0.6237472809699052
1,3,male,28.0,0,0,7.775,S,Third,man,True,Southampton,yes,True,0.015175789316712771,-0.11493295055742946
0,3,male,38.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0.015411575213749286,0.6119446643175359
1,3,female,28.0,1,0,24.15,Q,Third,woman,False,Queenstown,yes,False,0.04713766070721715,-0.11493295055742946
0,1,male,47.0,0,0,52.0,S,First,man,True,Southampton,no,True,0.10149724044618187,1.2661345177050047
0,3,female,14.5,1,0,14.4542,C,Third,child,False,Cherbourg,no,False,0.028212719478023115,-1.0962177306386327
0,3,male,22.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0.015712553569072387,-0.5510595194824087
0,3,female,20.0,1,0,9.825,S,Third,woman,False,Southampton,no,False,0.019177122834302632,-0.6964350424574017
0,3,female,17.0,0,0,14.4583,C,Third,woman,False,Cherbourg,no,True,0.028220722145058292,-0.9144983269198913
0,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,no,True,0.015468569817999833,-0.6237472809699052
0,3,male,70.5,0,0,7.75,Q,Third,man,True,Queenstown,no,True,0.015126992566498259,2.9742969126611736
0,2,male,29.0,1,0,21.0,S,Second,man,True,Southampton,no,False,0.04098927018018883,-0.042245189069932916
0,1,male,24.0,0,1,247.5208,C,First,man,True,Cherbourg,no,False,0.4831284260198326,-0.4056839965074156
0,3,female,2.0,4,2,31.275,S,Third,child,False,Southampton,no,False,0.06104473451835265,-2.0048147492323394
0,2,male,21.0,2,0,73.5,S,Second,man,True,Southampton,no,False,0.1434624456306609,-0.6237472809699052
0,2,male,32.5,1,0,30.0708,C,Second,man,True,Cherbourg,no,False,0.058694292654020104,0.21216197613630497
1,2,female,32.5,0,0,13.0,S,Second,woman,False,Southampton,yes,True,0.025374310111545468,0.21216197613630497
0,1,male,54.0,0,1,77.2875,S,First,man,True,Southampton,no,False,0.15085515328815924,1.7749488481174804
1,3,male,12.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,0.021942337075458514,-1.277937134357374
0,3,male,28.0,0,0,7.75,Q,Third,man,True,Queenstown,no,True,0.015126992566498259,-0.11493295055742946
1,3,male,24.0,0,0,7.1417,S,Third,man,True,Southampton,yes,True,0.01393967004027879,-0.4056839965074156
1,3,female,28.0,1,1,22.3583,C,Third,woman,False,Cherbourg,yes,False,0.04364049521284362,-0.11493295055742946
0,3,male,45.0,0,0,6.975,S,Third,man,True,Southampton,no,True,0.013614293309848433,1.1207589947300116
0,3,male,33.0,0,0,7.8958,C,Third,man,True,Cherbourg,no,True,0.015411575213749286,0.24850585688005322
0,3,male,20.0,0,0,7.05,S,Third,man,True,Southampton,no,True,0.013760683560491965,-0.6964350424574017
0,3,female,47.0,1,0,14.5,S,Third,woman,False,Southampton,no,False,0.028302115124416098,1.2661345177050047
0,2,male,25.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0.025374310111545468,-0.33299623501991904
0,2,male,23.0,0,0,15.0458,C,Second,man,True,Cherbourg,no,True,0.02936744577509929,-0.47837175799491216
1,1,female,19.0,0,2,26.2833,S,First,woman,False,Southampton,yes,False,0.051301584996521765,-0.7691228039448983
0,1,male,37.0,1,0,53.1,S,First,man,True,Southampton,no,False,0.10364429745562033,0.5392569028300394
0,3,male,16.0,0,0,9.2167,S,Third,man,True,Southampton,no,True,0.01798980030808316,-0.9871860884073879
0,1,male,24.0,0,0,79.2,C,First,man,True,Cherbourg,no,True,0.15458810467956932,-0.4056839965074156
0,3,female,28.0,0,2,15.2458,C,Third,woman,False,Cherbourg,no,False,0.029757819776815374,-0.11493295055742946
1,3,female,22.0,0,0,7.75,S,Third,woman,False,Southampton,yes,True,0.015126992566498259,-0.5510595194824087
1,3,female,24.0,1,0,15.85,S,Third,woman,False,Southampton,yes,False,0.030937139635999665,-0.4056839965074156
0,3,male,19.0,0,0,6.75,Q,Third,man,True,Queenstown,no,True,0.013175122557917838,-0.7691228039448983
0,2,male,18.0,0,0,11.5,S,Second,man,True,Southampton,no,True,0.022446505098674838,-0.8418105654323949
0,2,male,19.0,1,1,36.75,S,Second,man,True,Southampton,no,False,0.07173122281533045,-0.7691228039448983
1,3,male,27.0,0,0,7.7958,S,Third,man,True,Southampton,yes,True,0.015216388212891242,-0.18762071204492597
0,3,female,9.0,2,2,34.375,S,Third,child,False,Southampton,no,False,0.06709553154495196,-1.4960004188198637
0,2,male,36.5,0,2,26.0,S,Second,man,True,Southampton,no,False,0.050748620223090936,0.5029130220862911
0,2,male,42.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0.025374310111545468,0.902695710267522
0,2,male,51.0,0,0,12.525,S,Second,man,True,Southampton,no,True,0.02444717185746977,1.556885563654991
1,1,female,22.0,1,0,66.6,S,First,woman,False,Southampton,yes,False,0.12999454257145598,-0.5510595194824087
0,3,male,55.5,0,0,8.05,S,Third,man,True,Southampton,no,True,0.015712553569072387,1.8839804903487254
0,3,male,40.5,0,2,14.5,S,Third,man,True,Southampton,no,False,0.028302115124416098,0.7936640680362772
0,3,male,28.0,0,0,7.3125,S,Third,man,True,Southampton,no,True,0.014273049437744325,-0.11493295055742946
0,1,male,51.0,0,1,61.3792,C,First,man,True,Cherbourg,no,False,0.11980421963065935,1.556885563654991
1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,Queenstown,yes,True,0.015094396337354966,-0.9871860884073879
0,3,male,30.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0.015712553569072387,0.03044257241756362
0,3,male,28.0,0,0,8.6625,S,Third,man,True,Southampton,no,True,0.016908073949327893,-0.11493295055742946
0,3,male,28.0,8,2,69.55,S,Third,man,True,Southampton,no,False,0.13575255909676825,-0.11493295055742946
0,3,male,44.0,0,1,16.1,S,Third,man,True,Southampton,no,False,0.031425107138144774,1.048071233242515
1,2,female,40.0,0,0,15.75,S,Second,woman,False,Southampton,yes,True,0.030741952635141623,0.757320187292529
0,3,male,26.0,0,0,7.775,S,Third,man,True,Southampton,no,True,0.015175789316712771,-0.26030847353242254
0,3,male,17.0,0,0,8.6625,S,Third,man,True,Southampton,no,True,0.016908073949327893,-0.9144983269198913
0,3,male,1.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,0.07746484096553544,-2.0775025107198357
1,3,male,9.0,0,2,20.525,S,Third,child,False,Southampton,yes,False,0.04006213192611313,-1.4960004188198637
1,1,female,28.0,0,1,55.0,S,First,woman,False,Southampton,yes,False,0.10735285047192313,-0.11493295055742946
0,3,female,45.0,1,4,27.9,S,Third,woman,False,Southampton,no,False,0.05445717323939373,1.1207589947300116
0,1,male,28.0,0,0,25.925,S,First,man,True,Southampton,no,True,0.050602229972447406,-0.11493295055742946
0,3,male,28.0,0,0,56.4958,S,Third,man,True,Southampton,no,True,0.11027245763075773,-0.11493295055742946
0,1,male,61.0,0,0,33.5,S,First,man,True,Southampton,no,True,0.06538764528744409,2.283763178529956
0,3,male,4.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,0.05684821399990475,-1.8594392262573463
1,3,female,1.0,1,1,11.1333,S,Third,child,False,Southampton,yes,False,0.021730754366528396,-2.0775025107198357
0,1,male,56.0,0,0,30.6958,C,First,man,True,Cherbourg,no,True,0.05991421140938287,1.9203243710924736
0,3,male,18.0,1,1,7.8542,S,Third,man,True,Southampton,no,False,0.015330377421392339,-0.8418105654323949
0,3,male,28.0,3,1,25.4667,S,Third,man,True,Southampton,no,False,0.049707687947515,-0.11493295055742946
0,1,female,50.0,0,0,28.7125,C,First,woman,False,Cherbourg,no,True,0.05604306762136532,1.4841978021674944
0,2,male,30.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0.025374310111545468,0.03044257241756362
0,3,male,36.0,0,0,0.0,S,Third,man,True,Southampton,no,True,0.0,0.46656914134254285
0,3,female,28.0,8,2,69.55,S,Third,woman,False,Southampton,no,False,0.13575255909676825,-0.11493295055742946
0,2,male,28.0,0,0,15.05,C,Second,man,True,Cherbourg,no,True,0.02937564362913533,-0.11493295055742946
0,3,male,9.0,4,2,31.3875,S,Third,child,False,Southampton,no,False,0.06126431989431795,-1.4960004188198637
1,2,male,1.0,2,1,39.0,S,Second,child,False,Southampton,yes,False,0.07612293033463641,-2.0775025107198357
1,3,female,4.0,0,2,22.025,S,Third,child,False,Southampton,yes,False,0.04298993693898376,-1.8594392262573463
0,1,male,28.0,0,0,50.0,S,First,man,True,Southampton,no,True,0.09759350042902103,-0.11493295055742946
1,3,female,28.0,1,0,15.5,Q,Third,woman,False,Queenstown,yes,False,0.030253985132996517,-0.11493295055742946
1,1,male,45.0,0,0,26.55,S,First,man,True,Southampton,yes,True,0.051822148727810165,1.1207589947300116
0,3,male,40.0,1,1,15.5,Q,Third,man,True,Queenstown,no,False,0.030253985132996517,0.757320187292529
0,3,male,36.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0.015411575213749286,0.46656914134254285
1,2,female,32.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True,0.025374310111545468,0.1758180953925567
0,2,male,19.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0.025374310111545468,-0.7691228039448983
1,3,female,19.0,1,0,7.8542,S,Third,woman,False,Southampton,yes,False,0.015330377421392339,-0.7691228039448983
1,2,male,3.0,1,1,26.0,S,Second,child,False,Southampton,yes,False,0.050748620223090936,-1.9321269877448428
1,1,female,44.0,0,0,27.7208,C,First,woman,False,Cherbourg,yes,True,0.05410739813385612,1.048071233242515
1,1,female,58.0,0,0,146.5208,C,First,woman,False,Cherbourg,yes,True,0.2859895551532101,2.0656998940674667
0,3,male,42.0,0,1,8.4042,S,Third,man,True,Southampton,no,False,0.01640390592611157,0.902695710267522
0,2,female,24.0,0,0,13.0,S,Second,woman,False,Southampton,no,True,0.025374310111545468,-0.4056839965074156
0,3,male,28.0,0,0,9.5,S,Third,man,True,Southampton,no,True,0.018542765081513996,-0.11493295055742946
0,3,male,34.0,0,0,6.4958,S,Third,man,True,Southampton,no,True,0.012678957201736696,0.3211936183675498
0,3,male,45.5,0,0,7.225,C,Third,man,True,Cherbourg,no,True,0.014102260811993537,1.15710287547376
1,3,male,18.0,0,0,8.05,S,Third,man,True,Southampton,yes,True,0.015712553569072387,-0.8418105654323949
0,3,female,2.0,0,1,10.4625,S,Third,child,False,Southampton,no,False,0.02042143996477265,-2.0048147492323394
0,3,male,32.0,1,0,15.85,S,Third,man,True,Southampton,no,False,0.030937139635999665,0.1758180953925567
1,3,male,26.0,0,0,18.7875,C,Third,man,True,Cherbourg,yes,True,0.036670757786204655,-0.26030847353242254
1,3,female,16.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,0.015126992566498259,-0.9871860884073879
1,1,male,40.0,0,0,31.0,C,First,man,True,Cherbourg,yes,True,0.060507970265993034,0.757320187292529
0,3,male,24.0,0,0,7.05,S,Third,man,True,Southampton,no,True,0.013760683560491965,-0.4056839965074156
1,2,female,35.0,0,0,21.0,S,Second,woman,False,Southampton,yes,True,0.04098927018018883,0.3938813798550463
0,3,male,22.0,0,0,7.25,S,Third,man,True,Southampton,no,True,0.014151057562208049,-0.5510595194824087
0,3,male,28.0,1,0,7.75,Q,Third,man,True,Queenstown,no,False,0.015126992566498259,-0.11493295055742946
1,1,female,31.0,1,0,113.275,C,First,woman,False,Cherbourg,yes,False,0.22109807522194713,0.10313033390506016
1,3,female,27.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,0.015468569817999833,-0.18762071204492597
0,2,male,42.0,1,0,27.0,S,Second,man,True,Southampton,no,False,0.05270049023167135,0.902695710267522
1,1,female,32.0,0,0,76.2917,C,First,woman,False,Cherbourg,yes,True,0.14891148113361488,0.1758180953925567
0,2,male,30.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0.020494635090094415,0.03044257241756362
1,3,male,16.0,0,0,8.05,S,Third,man,True,Southampton,yes,True,0.015712553569072387,-0.9871860884073879
0,2,male,27.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0.025374310111545468,-0.18762071204492597
0,3,male,51.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0.015712553569072387,1.556885563654991
1,1,male,38.0,1,0,90.0,S,First,man,True,Southampton,yes,False,0.17566830077223786,0.6119446643175359
0,3,male,22.0,0,0,9.35,S,Third,man,True,Southampton,no,True,0.018249984580226933,-0.5510595194824087
1,2,male,19.0,0,0,10.5,S,Second,man,True,Southampton,yes,True,0.020494635090094415,-0.7691228039448983
0,3,male,20.5,0,0,7.25,S,Third,man,True,Southampton,no,True,0.014151057562208049,-0.6600911617136535
0,2,male,18.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0.025374310111545468,-0.8418105654323949
0,3,female,28.0,3,1,25.4667,S,Third,woman,False,Southampton,no,False,0.049707687947515,-0.11493295055742946
1,1,female,35.0,1,0,83.475,S,First,woman,False,Southampton,yes,False,0.16293234896625058,0.3938813798550463
0,3,male,29.0,0,0,7.775,S,Third,man,True,Southampton,no,True,0.015175789316712771,-0.042245189069932916
0,2,male,59.0,0,0,13.5,S,Second,man,True,Southampton,no,True,0.026350245115835676,2.138387655554963
1,3,female,5.0,4,2,31.3875,S,Third,child,False,Southampton,yes,False,0.06126431989431795,-1.7867514647698497
0,2,male,24.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0.020494635090094415,-0.4056839965074156
0,3,female,28.0,0,0,7.55,S,Third,woman,False,Southampton,no,True,0.014736618564782174,-0.11493295055742946
0,2,male,44.0,1,0,26.0,S,Second,man,True,Southampton,no,False,0.050748620223090936,1.048071233242515
1,2,female,8.0,0,2,26.25,S,Second,child,False,Southampton,yes,False,0.05123658772523604,-1.5686881803073602
0,2,male,19.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0.020494635090094415,-0.7691228039448983
0,2,male,33.0,0,0,12.275,S,Second,man,True,Southampton,no,True,0.023959204355324663,0.24850585688005322
0,3,female,28.0,1,0,14.4542,C,Third,woman,False,Cherbourg,no,False,0.028212719478023115,-0.11493295055742946
0,2,male,29.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0.020494635090094415,-0.042245189069932916
0,3,male,22.0,0,0,7.125,S,Third,man,True,Southampton,no,True,0.013907073811135496,-0.5510595194824087
0,3,male,30.0,0,0,7.225,C,Third,man,True,Cherbourg,no,True,0.014102260811993537,0.03044257241756362
0,1,male,44.0,2,0,90.0,Q,First,man,True,Queenstown,no,False,0.17566830077223786,1.048071233242515
0,3,female,25.0,0,0,7.775,S,Third,woman,False,Southampton,no,True,0.015175789316712771,-0.33299623501991904
1,2,female,24.0,0,2,14.5,S,Second,woman,False,Southampton,yes,False,0.028302115124416098,-0.4056839965074156
1,1,male,37.0,1,1,52.5542,S,First,man,True,Southampton,yes,False,0.10257896680493714,0.5392569028300394
0,2,male,54.0,1,0,26.0,S,Second,man,True,Southampton,no,False,0.050748620223090936,1.7749488481174804
0,3,male,28.0,0,0,7.25,S,Third,man,True,Southampton,no,True,0.014151057562208049,-0.11493295055742946
0,3,female,29.0,1,1,10.4625,S,Third,woman,False,Southampton,no,False,0.02042143996477265,-0.042245189069932916
0,1,male,62.0,0,0,26.55,S,First,man,True,Southampton,no,True,0.051822148727810165,2.356450940017453
0,3,male,30.0,1,0,16.1,S,Third,man,True,Southampton,no,False,0.031425107138144774,0.03044257241756362
0,3,female,41.0,0,2,20.2125,S,Third,woman,False,Southampton,no,False,0.039452172548431745,0.8300079487800255
1,3,female,29.0,0,2,15.2458,C,Third,woman,False,Cherbourg,yes,False,0.029757819776815374,-0.042245189069932916
1,1,female,28.0,0,0,79.2,C,First,woman,False,Cherbourg,yes,True,0.15458810467956932,-0.11493295055742946
1,1,female,30.0,0,0,86.5,S,First,woman,False,Southampton,yes,True,0.16883675574220638,0.03044257241756362
1,1,female,35.0,0,0,512.3292,C,First,woman,False,Cherbourg,yes,True,1.0,0.3938813798550463
1,2,female,50.0,0,1,26.0,S,Second,woman,False,Southampton,yes,False,0.050748620223090936,1.4841978021674944
1,3,male,3.0,4,2,31.3875,S,Third,child,False,Southampton,yes,False,0.06126431989431795,-1.9321269877448428
0,1,male,52.0,1,1,79.65,S,First,man,True,Southampton,no,False,0.1554664461834305,1.6295733251424873
0,1,male,40.0,0,0,0.0,S,First,man,True,Southampton,no,True,0.0,0.757320187292529
0,3,female,28.0,0,0,7.75,Q,Third,woman,False,Queenstown,no,True,0.015126992566498259,-0.11493295055742946
0,2,male,36.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0.020494635090094415,0.46656914134254285
